product_name,brands,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Brochettes d'abats de boeuf,U,Meats,0.0,21.0,4.9,0.0,a
Brins de framboise,Bijou,Snacks,45.0,4.6,2.3,1.4,e
Brins de ChocoCaramel,Bijou,Snacks,49.0,5.4,16.0,1.5,e
Sliced Yellow Cling Peaches in Peach and Pear juice,,Beverages,8.8709677419355,0.80645161290323,0.0,0.80645161290323,a
Minotaur bio - Huile d'Olive Vierge Extra,Minotaur,Beverages,0.0,0.0,91.6,0.0,b
CREMA CALABACÍN,Nococinomas,Beverages,1.10000002384186,2.5,3.59999990463257,,unknown
Spiced Chai Latte,"Drink Me Chai, bofrost*",Beverages,2.0,1.9,0.2,1.3,b
Five cheese rigatoni,Lean Cuisine,Beverages,2.47349823321555,4.9469964664311,3.53356890459364,1.41342756183746,unknown
P'tits beignets parfum choco-noisette,,Snacks,19.0,1.3,5.4,,c
petit dej Chococroustill,Bijou,Snacks,7.0,2.2,5.9,1.1,c
4 Beignets parfum chocolat-noisette *4,,Snacks,19.0,6.7,19.0,,d
Knusper-Müsli Mango,Gut bio,Beverages,16.0,10.0,11.0,7.3,a
Isabar,Isagenix,Snacks,25.0,28.0,9.0,5.0,d
4 beignets à la pomme,,Snacks,20.0,6.6,9.6,,d
Compote de poire,Crous,Beverages,27.0,0.6,0.0,3.6,c
"Pain perdu, compotée de rhubarbe et framboise",Foodles,Snacks,14.76,2.95,4.59,1.94,c
Beignets chocolats noisettes decongelé,,Snacks,19.0,6.7,19.0,,d
Greek Nonfat Yogurt,Stater Bros,Dairy,8.82352941176471,8.23529411764706,0.0,0.0,a
Beignets à la pomme,,Snacks,16.0,6.2,10.0,,d
Shiro Miso,Shinshu,Beverages,10.0,12.0,5.4,3.2,e
Mandeln Naturbelassen,Dattelmann,Beverages,4.4,21.2,49.9,12.5,unknown
Oat No Sugars,Alpro,Beverages,0.0,0.2,1.5,1.2,c
"Medjool Dates, Extra Fancy",Terrasoul Superfoods,Beverages,66.6666666666667,6.66666666666667,0.0,6.66666666666667,c
Filete de sardina en aceite de girasol,,Fish & Seafood,0.0,18.0,25.0,,d
Sliced Cracked Wheat Sourdough Bread,Trader Joe's,Beverages,0.0,7.69230769230769,0.961538461538462,1.92307692307692,c
Beurre de Cacahuètes Bio,Kazidomi,Beverages,4.0,25.7,49.1,8.5,a
Beurre de Cacahuètes Bio,Kazidomi,Beverages,4.0,25.7,49.1,8.5,a
Beurre de Cacahuètes Croquantes Bio,Kazidomi,Beverages,4.0,25.7,49.1,8.5,a
Purée d'Amandes Blanches Crues Bio,Kazidomi,Beverages,3.8,21.7,55.8,7.0,a
Purée de Noix de Cajou grillées Bio,Kazidomi,Beverages,5.0,21.0,48.8,3.8,b
Purée de Sésame Tahini Bio,Kazidomi,Beverages,0.0,25.9,54.8,8.5,c
Purée de Noisettes Sans Sel Bio,Kazidomi,Beverages,5.0,14.0,61.8,9.0,a
Purée de Pistaches Bio,Kazidomi,Beverages,1.9,22.3,54.7,8.9,a
Purée de Graines de tournesol Bio,Kazidomi,Beverages,2.6,20.7,51.4,9.0,a
Organic almond butter raw,,Beverages,3.8,21.7,55.8,,b
Purée d'Amandes Blanches Grillées Bio,Kazidomi,Beverages,3.8,21.7,55.8,7.0,a
Purée de Noix de Cajou Crues Bio,Kazidomi,Beverages,5.9,18.1,43.9,3.3,b
100% WALKERS GREAT BRITISH POTATOES LEGENDARY READ,Aldi,Beverages,0.4,6.4,31.0,4.3,d
walkers,Walkers,Beverages,1.0,6.3,30.0,6.2,c
Cheese and onion,Walkers,Beverages,2.6,6.6,29.0,6.4,c
ked e use carefully ty ingredients never fried...,Walkers,Snacks,5.45454545454545,5.90909090909091,12.7272727272727,6.36363636363636,e
Vegan Grilled Cheese Toastie Crisps,Walkers,Beverages,2.91666666666667,7.08333333333333,20.8333333333333,4.16666666666667,c
Wotsits Walkers,,Beverages,2.1,7.1,21.0,4.4,c
Cheese Toastie with Heinz Beanz Flavour Potato Crisps,Walkers,Beverages,3.9,6.4,29.0,6.3,d
Chilli Heatwave,Doritos,Snacks,4.66666666666667,6.33333333333333,22.3333333333333,5.66666666666667,c
BOLDER CRUNCH ICONIC TASTE Doritos TANGY CHEESE FL,Doritos,Snacks,3.66666666666667,6.66666666666667,22.0,18.3333333333333,b
Thai sweet chilli sensations,Walkers,Beverages,3.7,6.6,26.0,5.9,c
serving contains: Saturates Sugars Salt 0.6g 0.7g,Walker Heinz,Beverages,2.8,6.4,29.2,4.0,unknown
SOME SEE POTATOES WE SEE POTENTIAL 100% GREAT BRIT,Walkers,Beverages,1.6,6.1,29.0,4.6,c
Seriously Salt & Vinegar,Walkers,Beverages,0.9,5.9,29.0,4.5,c
Supreme Prawn Cocktail,Walkers,Beverages,2.4,6.0,28.8,4.4,c
"40 SUME SEL POTATOES, WE SEE POTENTIAL 100% GREAT",Walkers,Beverages,0.8,6.6,29.0,,d
JAPAN WALKERS STICKY TERIYAKI FLAVOUR POTATO CRISP,Walkers,Beverages,4.4,6.0,28.8,4.4,c
Masala Chicken,Walkers,Snacks,2.6,6.1,29.0,4.6,c
Lightly Cheese & Onion,Walkers,Snacks,2.8,6.8,29.6,6.4,unknown
Peito de Peru Defumado Fatiado Vita SADIA Bandeja 200g,SADIA,Meats,0.0,18.3333333333333,1.33333333333333,0.0,b
Blanc de poulet rôti,Polio la forno,Meats,2.0,19.0,2.0,0.008,b
Tuna in Olive Oil,Alma Rosada,Fish & Seafood,0.0,24.0,12.0,,d
Cannellini Beans in salted water (20166076),Freshona,Beverages,0.5,6.1,0.6,,b
noix de cajou vrac,Biocoop,Beverages,2.3,14.8,66.7,6.4,c
Greek 0% Fat,Liberte,Dairy,3.6,9.5,0.5,0.0,a
Père Noël Lait,,Snacks,45.24,7.42,36.65,3.45,e
Bio te verde,Lord Nelson,Beverages,0.0,0.0,0.0,0.0,b
Ciao le sel ! Iodé,Aromandise,Beverages,0.5,16.0,35.0,,not-applicable
The simpsons donuts,,Snacks,18.2,5.0,28.9,,e
Roti Wraps,Lidl,Beverages,1.2,7.6,7.8,,c
Bijou tradition pâtissiere,Bijou,Snacks,31.0,9.1,34.0,2.5,e
Madeleines Bijou,Bijou,Snacks,28.0,6.6,29.0,1.8,e
madeleines ecrin,Bijoux,Snacks,32.3159,3.42653333333333,37.0124333333333,1.496,d
Crema fresca verduras,,Beverages,1.8,0.8,0.5,,c
Crema de calabaza y zanahoria chef select,,Beverages,1.9,0.6,1.4,,unknown
Rillettes de canard au foie gras,,Meats,0.075,13.05,42.75,,e
Salade de macedoine de légumes,,Beverages,1.0,1.9,12.7,,b
Sweet Mango Chutney,Sainsbury's,Beverages,56.078875,0.44685,0.279125,1.11575,d
ICE TEA,,Beverages,0.0,0.0,0.0,,unknown
yogurt,dolche,Dairy,26.0,15.0,21.0,13.0,unknown
Croissants pur beurre,La Fournée Campanière,Snacks,7.4,8.6,22.2,,e
"Bakers Best, White Bread",Wise Woodworks,Beverages,5.88,8.82,1.47,2.9,c
"Bakers Best, Rye Bread",Wise Woodworks,Beverages,2.56,7.69,2.56,2.6,c
baked crisps,walkers,Snacks,5.4,5.9,13.0,6.3,c
Salame milano di puro suino,,Meats,0.5,24.0,34.0,,e
Eclairs,Intermarché,Snacks,21.7,4.6,9.5,,d
Croissant Proteico al cioccolato,,Snacks,1.0,25.0,20.0,14.0,d
Plumcake proteico,,Snacks,1.0,28.0,24.0,15.0,unknown
Beignets gourmands parfum choco-noisettes,,Snacks,5.4,0.0,20.0,,c
